idx,header,deltaG,amplicon_length,gamma,est_alpha,accession,taxid,superkingdom,phylum,class,order,family,genus,species
15,"PQ390702.1 Eremias stummeri voucher NA mitochondrion, complete genome",50.849637086957856,173,50.849637086957856,-0.15254891126087358,PQ390702.1,1819979,NA,Chordata,Lepidosauria,Squamata,Lacertidae,Eremias,Eremias stummeri
16,"PP484682.1 Lutjanus fulvus mitochondrion, complete genome",5.20006555509142,169,5.20006555509142,-0.015600196665274261,PP484682.1,260524,NA,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus fulvus
17,"OP588115.1 Oncorhynchus mykiss voucher ST-075 mitochondrion, complete genome",0,170,0,-0,OP588115.1,8022,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
19,"PP471983.1 Callionymus hindsii mitochondrion, complete genome",200.8740340004574,275,200.8740340004574,-0.6026221020013722,PP471983.1,3132145,NA,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,Callionymus hindsii
20,"PP471982.1 Callionymus sp. mitochondrion, complete genome",192.83324699497783,275,192.83324699497783,-0.5784997409849335,PP471982.1,3112289,NA,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,Callionymus sp.
21,"PQ246113.1 Mustela sibirica isolate T101 mitochondrion, complete genome",23.978834017894034,168,23.978834017894034,-0.0719365020536821,PQ246113.1,36240,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela sibirica
22,"PQ246112.1 Mustela putorius isolate S33 mitochondrion, complete genome",23.978834017894034,168,23.978834017894034,-0.0719365020536821,PQ246112.1,9668,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela putorius
23,"PQ246111.1 Mustela nivalis isolate T100 mitochondrion, complete genome",23.978834017894034,168,23.978834017894034,-0.0719365020536821,PQ246111.1,36239,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela nivalis
24,"PQ246108.1 Mustela erminea isolate T136 mitochondrion, complete genome",30.178912179733803,168,30.178912179733803,-0.09053673653920141,PQ246108.1,36723,NA,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela erminea
25,"PQ571332.1 Macrovipera lebetinus lebetinus isolate 56088 mitochondrion, complete genome",65.96671991272594,161,65.96671991272594,-0.19790015973817782,PQ571332.1,384072,NA,Chordata,Lepidosauria,Squamata,Viperidae,Macrovipera,Macrovipera lebetinus
26,"PV256475.1 Hipposideros diadema voucher JS241008.13 mitochondrion, complete genome",30.178912179733803,170,30.178912179733803,-0.09053673653920141,PV256475.1,59453,NA,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros diadema
27,"PV369186.1 Rhinichthys cataractae voucher ADN_24_00557 mitochondrion, complete genome",178.36787540063546,193,178.36787540063546,-0.5351036262019063,PV369186.1,340988,NA,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Rhinichthys,Rhinichthys cataractae
30,"PV370339.1 Enchelyurus brunneolus voucher USNM:FISH:451479 mitochondrion, complete genome",0,169,0,-0,PV370339.1,3230586,NA,Chordata,Actinopteri,Blenniiformes,Blenniidae,Enchelyurus,Enchelyurus brunneolus
31,"PV370338.1 Hollardia hollardi voucher USNM:FISH:466023 mitochondrion, complete genome",5.20006555509142,170,5.20006555509142,-0.015600196665274261,PV370338.1,2898570,NA,Chordata,Actinopteri,Tetraodontiformes,Triacanthodidae,Hollardia,Hollardia hollardi
32,"PV370337.1 Coelorinchus caribbaeus voucher USNM:FISH:466015 mitochondrion, complete genome",7.395492125109681,168,7.395492125109681,-0.022186476375329042,PV370337.1,630658,NA,Chordata,Actinopteri,Gadiformes,Macrouridae,Coelorinchus,Coelorinchus caribbaeus
33,"PV370336.1 Diplospinus multistriatus voucher USNM:FISH:466498 mitochondrion, complete genome",0,168,0,-0,PV370336.1,372796,NA,Chordata,Actinopteri,Scombriformes,Gempylidae,Diplospinus,Diplospinus multistriatus
34,"PV370333.1 Pontinus longispinis voucher USNM:FISH:466108 mitochondrion, complete genome",0,168,0,-0,PV370333.1,274698,NA,Chordata,Actinopteri,Perciformes,Scorpaenidae,Pontinus,Pontinus longispinis
35,"PV370332.1 Prionotus carolinus voucher USNM:FISH:466103 mitochondrion, complete genome",0,170,0,-0,PV370332.1,1266880,NA,Chordata,Actinopteri,Perciformes,Triglidae,Prionotus,Prionotus carolinus
36,"PV370330.1 Etropus microstomus voucher USNM:FISH:466099 mitochondrion, complete genome",0,169,0,-0,PV370330.1,195611,NA,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Etropus,Etropus microstomus
37,"PV370329.1 Centropristis striata voucher USNM:FISH:466095 mitochondrion, complete genome",0,169,0,-0,PV370329.1,184440,NA,Chordata,Actinopteri,Perciformes,Serranidae,Centropristis,Centropristis striata
38,"PV370328.1 Conger triporiceps voucher USNM:FISH:406300 mitochondrion, complete genome",15.58919546196557,171,15.58919546196557,-0.04676758638589671,PV370328.1,1181892,NA,Chordata,Actinopteri,Anguilliformes,Congridae,Conger,Conger triporiceps
39,"PV370327.1 Barbulifer antennatus voucher USNM:FISH:406235 mitochondrion, complete genome",6.609040652945632,168,6.609040652945632,-0.019827121958836895,PV370327.1,3065009,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Barbulifer,Barbulifer antennatus
40,"PV370326.1 Paraclinus cingulatus voucher USNM:FISH:413808 mitochondrion, complete genome",0,169,0,-0,PV370326.1,3065010,NA,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Paraclinus,Paraclinus cingulatus
41,"PV370325.1 Elacatinus horsti voucher USNM:FISH:413817 mitochondrion, complete genome",0,169,0,-0,PV370325.1,203294,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Elacatinus,Elacatinus horsti
42,"PV370324.1 Calamopteryx goslinei voucher USNM:FISH:413797 mitochondrion, complete genome",0,172,0,-0,PV370324.1,1182256,NA,Chordata,Actinopteri,Ophidiiformes,Bythitidae,Calamopteryx,Calamopteryx goslinei
43,"PV370323.1 Elacatinus randalli voucher USNM:FISH:413420 mitochondrion, complete genome",0,172,0,-0,PV370323.1,317240,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Elacatinus,Elacatinus randalli
44,"PV370322.1 Monomitopus agassizii voucher USNM:FISH:407074 mitochondrion, complete genome",0,171,0,-0,PV370322.1,2100593,NA,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Monomitopus,Monomitopus agassizii
45,"PV369935.1 Lynx rufus isolate AZ88_KD mitochondrion, complete genome",30.178912179733803,171,30.178912179733803,-0.09053673653920141,PV369935.1,61384,NA,Chordata,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus
46,"KR018384.1 Sundamys muelleri voucher ABTC:117777 mitochondrion, complete genome",30.178912179733803,171,30.178912179733803,-0.09053673653920141,KR018384.1,83761,NA,Chordata,Mammalia,Rodentia,Muridae,Sundamys,Sundamys muelleri
47,"KR018383.1 Rattus verecundus voucher ABTC:47140 mitochondrion, complete genome",30.178912179733803,172,30.178912179733803,-0.09053673653920141,KR018383.1,472764,NA,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus verecundus
48,"KR018382.1 Rattus steini voucher ABTC:47100 mitochondrion, complete genome",30.178912179733803,172,30.178912179733803,-0.09053673653920141,KR018382.1,472763,NA,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus steini
49,"KR018380.1 Rattus giluwensis voucher ABTC:47145 mitochondrion, complete genome",30.178912179733803,173,30.178912179733803,-0.09053673653920141,KR018380.1,946981,NA,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus giluwensis
50,"KR018379.1 Maxomys bartelsii voucher ABTC:48056 mitochondrion, complete genome",30.178912179733803,171,30.178912179733803,-0.09053673653920141,KR018379.1,332665,NA,Chordata,Mammalia,Rodentia,Muridae,Maxomys,Maxomys bartelsii
51,"KR018378.1 Diplothrix legata voucher ABTC:117779 mitochondrion, complete genome",30.178912179733803,173,30.178912179733803,-0.09053673653920141,KR018378.1,106283,NA,Chordata,Mammalia,Rodentia,Muridae,Diplothrix,Diplothrix legata
52,"KR018377.1 Chiromyscus chiropus voucher ABTC:116193 mitochondrion, complete genome",30.178912179733803,171,30.178912179733803,-0.09053673653920141,KR018377.1,491872,NA,Chordata,Mammalia,Rodentia,Muridae,Chiromyscus,Chiromyscus chiropus
53,"KR018376.1 Berylmys berdmorei voucher ABTC:115818 mitochondrion, complete genome",30.178912179733803,171,30.178912179733803,-0.09053673653920141,KR018376.1,595394,NA,Chordata,Mammalia,Rodentia,Muridae,Berylmys,Berylmys berdmorei
54,"KR018375.1 Bandicota indica voucher ABTC:69090 mitochondrion, complete genome",30.178912179733803,172,30.178912179733803,-0.09053673653920141,KR018375.1,456472,NA,Chordata,Mammalia,Rodentia,Muridae,Bandicota,Bandicota indica
55,"PV365185.1 Cobitis tigrina mitochondrion, complete genome",0,173,0,-0,PV365185.1,3411663,NA,Chordata,Actinopteri,Cypriniformes,Cobitidae,Cobitis,Cobitis tigrina
56,"PV365184.1 Cobitis crassicauda mitochondrion, complete genome",0,173,0,-0,PV365184.1,1254959,NA,Chordata,Actinopteri,Cypriniformes,Cobitidae,Cobitis,Cobitis crassicauda
57,"ON416885.1 Cervus hanglu hanglu mitochondrion, complete genome",30.178912179733803,169,30.178912179733803,-0.09053673653920141,ON416885.1,408872,NA,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus hanglu
58,"PV357919.1 Triodon macropterus voucher USNM:FISH:466430 mitochondrion, complete genome",0,171,0,-0,PV357919.1,300227,NA,Chordata,Actinopteri,Tetraodontiformes,Triodontidae,Triodon,Triodon macropterus
59,"PV357918.1 Helicolenus dactylopterus voucher USNM:FISH:466024 mitochondrion, complete genome",0,168,0,-0,PV357918.1,202727,NA,Chordata,Actinopteri,Perciformes,Sebastidae,Helicolenus,Helicolenus dactylopterus
60,"PV357917.1 Sphoeroides parvus voucher USNM:FISH:466078 mitochondrion, complete genome",2.2000149181403663,172,2.2000149181403663,-0.006600044754421099,PV357917.1,862788,NA,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,Sphoeroides parvus
61,"PV357916.1 Neoepinnula americana voucher USNM:FISH:466089 mitochondrion, complete genome",0,169,0,-0,PV357916.1,499856,NA,Chordata,Actinopteri,Scombriformes,Gempylidae,Neoepinnula,Neoepinnula americana
62,"PV357915.1 Ariomma regulus voucher USNM:FISH:466061 mitochondrion, complete genome",0,170,0,-0,PV357915.1,2996726,NA,Chordata,Actinopteri,Scombriformes,Ariommatidae,Ariomma,Ariomma regulus
63,"PV357914.1 Peprilus triacanthus voucher USNM:FISH:466060 mitochondrion, complete genome",0,167,0,-0,PV357914.1,183653,NA,Chordata,Actinopteri,Scombriformes,Stromateidae,Peprilus,Peprilus triacanthus
64,"PV357912.1 Hyporthodus niveatus voucher USNM:FISH:466056 mitochondrion, complete genome",7.395492125109681,169,7.395492125109681,-0.022186476375329042,PV357912.1,160726,NA,Chordata,Actinopteri,Perciformes,Serranidae,Hyporthodus,Hyporthodus niveatus
65,"PV357911.1 Peristedion gracile voucher USNM:FISH:466048 mitochondrion, complete genome",0,169,0,-0,PV357911.1,274732,NA,Chordata,Actinopteri,Perciformes,Peristediidae,Peristedion,Peristedion gracile
66,"PV357910.1 Zenopsis conchifer voucher USNM:FISH:466046 mitochondrion, complete genome",0,175,0,-0,PV357910.1,245696,NA,Chordata,Actinopteri,Zeiformes,Zeidae,Zenopsis,Zenopsis conchifer
67,"PV357909.1 Scomber colias voucher USNM:FISH:466041 mitochondrion, complete genome",0,169,0,-0,PV357909.1,338315,NA,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber colias
68,"PV357907.1 Peristedion greyae voucher USNM:FISH:466027 mitochondrion, complete genome",0,169,0,-0,PV357907.1,3001735,NA,Chordata,Actinopteri,Perciformes,Peristediidae,Peristedion,Peristedion greyae
69,"PV357906.1 Pervagor aspricaudus voucher USNM:FISH:424091 mitochondrion, complete genome",7.395492125109681,171,7.395492125109681,-0.022186476375329042,PV357906.1,586845,NA,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Pervagor,Pervagor aspricaudus
70,"PV357905.1 Sphoeroides spengleri voucher USNM:FISH:415622 mitochondrion, complete genome",2.2000149181403663,172,2.2000149181403663,-0.006600044754421099,PV357905.1,303741,NA,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,Sphoeroides spengleri
71,"PV357904.1 Penopus microphthalmus voucher USNM:FISH:407410 mitochondrion, complete genome",0,170,0,-0,PV357904.1,2100600,NA,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Penopus,Penopus microphthalmus
72,"PV357903.1 Coloconger meadi voucher USNM:FISH:400788 mitochondrion, complete genome",7.800001319483234,171,7.800001319483234,-0.0234000039584497,PV357903.1,3064998,NA,Chordata,Actinopteri,Anguilliformes,Colocongridae,Coloconger,Coloconger meadi
73,"PV357902.1 Halosaurus ovenii voucher USNM:FISH:407039 mitochondrion, complete genome",0,174,0,-0,PV357902.1,1675537,NA,Chordata,Actinopteri,Notacanthiformes,Halosauridae,Halosaurus,Halosaurus ovenii
74,"PV357901.1 Dysomma anguillare voucher USNM:FISH:398516 mitochondrion, complete genome",0,172,0,-0,PV357901.1,189484,NA,Chordata,Actinopteri,Anguilliformes,Synaphobranchidae,Dysomma,Dysomma anguillare
75,"PV357794.1 Microdevario kubotai isolate kub4 mitochondrion, complete genome",7.209862530486143,172,7.209862530486143,-0.02162958759145843,PV357794.1,857698,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Microdevario,Microdevario kubotai
76,"PV357790.1 Devario sondhii isolate son4 mitochondrion, complete genome",0,175,0,-0,PV357790.1,1142204,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Devario,Devario sondhii
77,"PV357786.1 Devario aequipinnatus isolate gnt4 mitochondrion, complete genome",0,175,0,-0,PV357786.1,46778,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Devario,Devario aequipinnatus
78,"PV357782.1 Danio choprae isolate cho4 mitochondrion, complete genome",0,174,0,-0,PV357782.1,299714,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio choprae
79,"PV357778.1 Danio margaritatus isolate mar4 mitochondrion, complete genome",0,174,0,-0,PV357778.1,487618,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio margaritatus
80,"PV357774.1 Danio albolineatus isolate alb4 mitochondrion, complete genome",0,172,0,-0,PV357774.1,27699,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio albolineatus
81,"PV357770.1 Danio tinwini isolate tin4 mitochondrion, complete genome",0,168,0,-0,PV357770.1,1093597,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio tinwini
82,"PV357766.1 Danio nigrofasciatus isolate nig4 mitochondrion, complete genome",0,171,0,-0,PV357766.1,144739,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio nigrofasciatus
83,"PV357762.1 Danio kyathit isolate kya4 mitochondrion, complete genome",0,170,0,-0,PV357762.1,242068,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio kyathit
84,"PV357758.1 Danio aesculapii isolate aes4 mitochondrion, complete genome",0,172,0,-0,PV357758.1,1142201,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio aesculapii
85,"PV357754.1 Danio rerio isolate AB4 mitochondrion, complete genome",0,173,0,-0,PV357754.1,7955,NA,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio rerio
86,"PV355846.1 Goldmania violiceps voucher JLG11 mitochondrion, complete genome",32.38588528305485,181,32.38588528305485,-0.09715765584916454,PV355846.1,1507464,NA,Chordata,Aves,Apodiformes,Trochilidae,Goldmania,Goldmania violiceps
87,"OQ513963.1 UNVERIFIED: Crocodylus novaeguineae voucher ZFMK 083964 mitochondrion, complete genome",77.58066057264813,184,77.58066057264813,-0.23274198171794439,OQ513963.1,8503,NA,Chordata,NA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus novaeguineae
88,"OQ513958.1 UNVERIFIED: Crocodylus niloticus voucher ZSM 45/1914 mitochondrion, complete genome",77.58066057264813,184,77.58066057264813,-0.23274198171794439,OQ513958.1,8501,NA,Chordata,NA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus
89,"OQ513956.1 UNVERIFIED: Crocodylus porosus voucher ZSM 253/1907 mitochondrion, complete genome",77.58066057264813,184,77.58066057264813,-0.23274198171794439,OQ513956.1,8502,NA,Chordata,NA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus porosus
90,"OR766867.1 Neolissochilus pnar voucher GUNJ1 mitochondrion, complete genome",0,175,0,-0,OR766867.1,3024289,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Neolissochilus,Neolissochilus pnar
91,"PV339948.1 Myoxocephalus aenaeus voucher ADN_24_00931 mitochondrion, complete genome",0,169,0,-0,PV339948.1,8096,NA,Chordata,Actinopteri,Perciformes,Cottidae,Myoxocephalus,Myoxocephalus aenaeus
97,"PV200276.1 Moschus berezovskii mitochondrion, complete genome",20.779475102705483,168,20.779475102705483,-0.06233842530811645,PV200276.1,68408,NA,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,Moschus berezovskii
98,"PV329703.1 Odontaspis noronhai voucher USNM:FISH:466515 mitochondrion, complete genome",41.04123751882368,181,41.04123751882368,-0.12312371255647103,PV329703.1,1213699,NA,Chordata,Chondrichthyes,Lamniformes,Odontaspididae,Odontaspis,Odontaspis noronhai
99,"PV329702.1 Thysanactis dentex voucher USNM:FISH:466508 mitochondrion, complete genome",0,168,0,-0,PV329702.1,882886,NA,Chordata,Actinopteri,Stomiiformes,Stomiidae,Thysanactis,Thysanactis dentex
100,"PV329700.1 Tautoga onitis voucher USNM:FISH:466121 mitochondrion, complete genome",6.779201114683874,169,6.779201114683874,-0.020337603344051623,PV329700.1,202602,NA,Chordata,Actinopteri,Labriformes,Labridae,Tautoga,Tautoga onitis
101,"PV329699.1 Hippocampus erectus voucher USNM:FISH:466105 mitochondrion, complete genome",0,166,0,-0,PV329699.1,109281,NA,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus erectus
102,"PV329698.1 Bollmannia eigenmannorum voucher USNM:FISH:442038 mitochondrion, complete genome",6.609040652945632,168,6.609040652945632,-0.019827121958836895,PV329698.1,3352867,NA,Chordata,Actinopteri,Gobiiformes,Gobiidae,Bollmannia,Bollmannia eigenmannorum
103,"PV329697.1 Ogilbia jeffwilliamsi voucher USNM:FISH:406215 mitochondrion, complete genome",0,176,0,-0,PV329697.1,3065008,NA,Chordata,Actinopteri,Ophidiiformes,Bythitidae,Ogilbia,Ogilbia jeffwilliamsi
104,"PV329696.1 Porogadus atripectus voucher USNM:FISH:421445 mitochondrion, complete genome",0,170,0,-0,PV329696.1,3359736,NA,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Porogadus,Porogadus atripectus
105,"PV329695.1 Apogon guadalupensis voucher USNM:FISH:444183 mitochondrion, complete genome",5.20006555509142,168,5.20006555509142,-0.015600196665274261,PV329695.1,875792,NA,Chordata,Actinopteri,Kurtiformes,Apogonidae,Apogon,Apogon guadalupensis
106,"PQ334062.1 Tayassu pecari mitochondrion, complete genome",29.53564921929544,169,29.53564921929544,-0.08860694765788632,PQ334062.1,30535,NA,Chordata,Mammalia,Artiodactyla,Tayassuidae,Tayassu,Tayassu pecari
108,"PP439705.1 Megalechis thoracata mitochondrion, complete genome",18.663430059509516,176,18.663430059509516,-0.055990290178528544,PP439705.1,245781,NA,Chordata,Actinopteri,Siluriformes,Callichthyidae,Megalechis,Megalechis thoracata
109,"PP114297.1 Triplophysa grahami mitochondrion, complete genome",0,172,0,-0,PP114297.1,2725302,NA,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,Triplophysa,Triplophysa grahami
110,"OM731672.1 Anabarilius duoyiheensis mitochondrion, complete genome",7.200003310824704,183,7.200003310824704,-0.021600009932474115,OM731672.1,2991329,NA,Chordata,Actinopteri,Cypriniformes,Xenocyprididae,Anabarilius,Anabarilius duoyiheensis
112,"MW217571.1 Silurus grahami mitochondrion, complete genome",13.562484040790178,170,13.562484040790178,-0.040687452122370536,MW217571.1,2794197,NA,Chordata,Actinopteri,Siluriformes,Siluridae,Silurus,Silurus grahami
113,"PP375181.1 Delphinus delphis voucher USNM:MAMM:502373 mitochondrion, complete genome",30.178912179733803,171,30.178912179733803,-0.09053673653920141,PP375181.1,9728,NA,Chordata,Mammalia,Artiodactyla,Delphinidae,Delphinus,Delphinus delphis
114,"PV250219.1 Prochilodus magdalenae isolate Pmag_2 mitochondrion, complete genome",5.20006555509142,171,5.20006555509142,-0.015600196665274261,PV250219.1,148989,NA,Chordata,Actinopteri,Characiformes,Prochilodontidae,Prochilodus,Prochilodus magdalenae
115,"PV250218.1 Prochilodus reticulatus isolate Pret_3 mitochondrion, complete genome",5.20006555509142,171,5.20006555509142,-0.015600196665274261,PV250218.1,930263,NA,Chordata,Actinopteri,Characiformes,Prochilodontidae,Prochilodus,Prochilodus reticulatus
116,"OQ830573.1 Panophrys tuberogranulata mitochondrion, complete genome",16.189078563310385,169,16.189078563310385,-0.048567235689931154,OQ830573.1,2898653,NA,Chordata,Amphibia,Anura,Megophryidae,Panophrys,Panophrys tuberogranulata
117,"OQ830572.1 Boulenophrys sangzhiensis mitochondrion, complete genome",16.189078563310385,169,16.189078563310385,-0.048567235689931154,OQ830572.1,3018543,NA,Chordata,Amphibia,Anura,Megophryidae,Boulenophrys,Boulenophrys sangzhiensis
118,"PV245953.1 Pseudalsophis occidentalis isolate 7923CD5 mitochondrion, complete genome",53.50701233682665,169,53.50701233682665,-0.16052103701047996,PV245953.1,3148522,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis occidentalis
119,"PV245952.1 Pseudalsophis dorsalis isolate SN04 mitochondrion, complete genome",53.50701233682665,169,53.50701233682665,-0.16052103701047996,PV245952.1,1260350,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis dorsalis
120,"PV245951.1 Pseudalsophis thomasi isolate GAL8A96 mitochondrion, complete genome",53.50701233682665,169,53.50701233682665,-0.16052103701047996,PV245951.1,3147282,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis thomasi
121,"PV245950.1 Pseudalsophis biserialis isolate 7922DB8 mitochondrion, complete genome",53.50701233682665,169,53.50701233682665,-0.16052103701047996,PV245950.1,3148520,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis biserialis
122,"PV245949.1 Pseudalsophis steindachneri isolate 7D2C352 mitochondrion, complete genome",53.50701233682665,169,53.50701233682665,-0.16052103701047996,PV245949.1,3148524,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis steindachneri
123,"PV245948.1 Pseudalsophis hoodensis isolate GAL13 mitochondrion, complete genome",53.50701233682665,168,53.50701233682665,-0.16052103701047996,PV245948.1,3148521,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis hoodensis
124,"PV245947.1 Pseudalsophis darwini isolate GAL5 mitochondrion, complete genome",44.70698412819576,170,44.70698412819576,-0.13412095238458727,PV245947.1,3147280,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis darwini
125,"PV245946.1 Pseudalsophis elegans isolate ZC0012 mitochondrion, complete genome",53.50701233682665,171,53.50701233682665,-0.16052103701047996,PV245946.1,1260351,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis elegans
126,"PV245945.1 Pseudalsophis slevini isolate P02 mitochondrion, complete genome",53.50701233682665,170,53.50701233682665,-0.16052103701047996,PV245945.1,3148523,NA,Chordata,Lepidosauria,Squamata,Dipsadidae,Pseudalsophis,Pseudalsophis slevini
127,"MF180232.1 Hypophthalmichthys molitrix isolate SC_Amur mitochondrion, complete genome",0,179,0,-0,MF180232.1,13095,NA,Chordata,Actinopteri,Cypriniformes,Xenocyprididae,Hypophthalmichthys,Hypophthalmichthys molitrix
